gisjoin_1800,cnty_area_1800,gisjoin_2020,cnty_area_2020,cnty_part_area,cnty_part_pop_m2,cnty_part_pop_m3,cnty_part_pop_m4,cnty_pop_m2,cnty_pop_m3,cnty_pop_m4,m1_weight,m2_weight,m3_weight,m4_weight
G1301535,258007915221,1047,2574044547.69,932605630.238,0,0,0,0,0,0,.0036146396,,,
G1301535,258007915221,1049,2016727534.85,2016727534.85,0,0,0,0,0,0,.0078165336,,,
G1301535,258007915221,1051,1701726827.49,1701726827.49,0,0,0,0,0,0,.0065956381,,,
G1301535,258007915221,1055,1420939806.67,1420939806.67,0,0,0,0,0,0,.0055073495,,,
G1301535,258007915221,1057,1630024237.36,1630024237.36,0,0,0,0,0,0,.0063177296,,,
G1301535,258007915221,1059,1674485399.64,1674485399.64,0,0,0,0,0,0,.0064900545,,,
G1301535,258007915221,1063,1709198337.52,1709198337.52,0,0,0,0,0,0,.0066245967,,,
G1301535,258007915221,1065,1700330570.61,1700330570.61,0,0,0,0,0,0,.0065902262,,,
G1301535,258007915221,1067,1471913507.23,2193.62392404,0,0,0,0,0,0,8.5021572e-09,,,
G1301535,258007915221,1069,1506537707.82,15564.9449622,0,0,0,0,0,0,6.0327395e-08,,,
G1301535,258007915221,1071,2918379549.14,2918377906.66,0,0,0,0,0,0,.011311195,,,
G1301535,258007915221,1073,2911534121.21,2911534121.21,0,0,0,0,0,0,.01128467,,,
G1301535,258007915221,1075,1568145424.53,1568145424.53,0,0,0,0,0,0,.0060778968,,,
G1301535,258007915221,1077,1863755196.02,1863726353.79,0,0,0,0,0,0,.0072235242,,,
G1301535,258007915221,1079,1857546765.12,1857546765.12,0,0,0,0,0,0,.0071995729,,,
G1301535,258007915221,1081,1595043593.2,1595043593.2,0,0,0,0,0,0,.00618215,,,
